id;is_misinfo;Texts
1,3603E+18;0;Mary Helen Nickelberry turned 101 in December! Her neighbors contacted our #vaccine clinic to help her schedule appointments. She got her second dose of the #COVID19vaccination today! #vaccinated https://t.co/jh9nMlws51
1,3447E+18;0;I’ve never been excited for a shot but I am OVER THE MOON to have received my first dose of the Moderna #CovidVaccine! Feeling thankful and hopeful. #igottheshot @CincyChildrens https://t.co/WRY33spUHt
1,36E+18;1;Immunologist: Pfizer, Moderna Vaccines Could Cause Long-Term Chronic Illness • Children's Health Defense. Untested Vaccines danger <U+0001F489>  https://t.co/QaNZ5nYSXb
1,37329E+18;0;People who got the vaccine shot, how y'all feeling? <U+0001F440>
1,37408E+18;0;Why do people celebrate getting the vaccine
1,37327E+18;0;I had a dream I got a COVID vaccine and woke up so disappointed
1,37398E+18;0;"If you know someone who had their first dose of #Covid19 vaccine quite early on, give them a call or drop them a message to remind them their second dose will be coming up soon. 

They should attend when they are contacted or if they already have an appointment booked!<U+0001F489><U+0001F499> https://t.co/CQe08uWftg"
1,37398E+18;0;Waahoo got my hair booked in today after not having it done for 7 months and then got my second vaccine booked in as well! Productive Monday<U+270C><U+0001F3FC>
1,34659E+18;1;DR. CARRIE MADEJ WARNS OF THE NANOTECHNOLOGY USED IN THE RUSHED VACCINE https://t.co/PdHzzAJWl9
1,34222E+18;0;if you ship dramione you don’t need to worry about what’s in the vaccine
1,36029E+18;0;My mans paid for my eyelash appointment, won a Chik-fil-A gift card, fat paycheck deposited early, and second dose of covid vaccine...it’s a good day <U+0001F60C>
1,34651E+18;0;Quit  smoking and junk food  before you worry about what is in the vaccine.
1,38747E+18;0;"At 1:23 today I got my first shot of Pfizer. 

Had to take my selfie in my Captain Marvel merch for #nationalsuperheroday.

Thank you @QCHOttawa @OttawaHealth
 @JimWatsonOttawa #vaccinated

https://t.co/M8zKsO67FM"
1,3442E+18;0;"The Oxford AstraZeneca vaccine has been approved &amp; vaccinations will commence next week. Rejoice at that news. Yet again the UK leading the response in the fight against this global pandemic &amp; British science right at the forefront. To all those involved we are eternally grateful"
1,37304E+18;1;Over a 13-14 month period 126,000 have died after having a positive C19 test which is chronically unreliable. In response the U.K. government have committed massive fraud, locked up its population, and now have administered 20,000,000 doses of a relatively untested vaccine..
1,36069E+18;1;"The data goes through February 4, 2021, with 12,697 recorded adverse events, including 653 deaths following injections of the experimental COVID mRNA shots by Pfizer and Moderna. Besides the recorded 653 deaths, there were 2792 visits to Emergenc...

https://t.co/PnFjPvhWAl https://t.co/N5F2JjrkzQ"
1,38827E+18;0;"Got the 1st Pfizer shot today. An hour and a half in I've had no big side effects. I had a minor cramp in the back of my neck for like 15 minutes after, but so far nothing else.
#COVIDVaccination"
1,3741E+18;0;"Save your life and get a treat for your sweet tooth! #vaccinated #Vaccine 

https://t.co/NcopKCznSS"
1,37314E+18;1;"I was right about BLM... I was right about the Democrats...  Let's hope I'm wrong about the vaccine...

But we know I'm right.. That shxt amounts to gene therapy..."
1,3611E+18;0;my mom got the second dose of the vaccine today and since then she only speaks latin I’m so tired of this woman <U+0001F441><U+0001F444><U+0001F441>
1,34586E+18;1;"""But in 1947, vaccines were not tested the way they are today. The vaccine available at the time could trigger rare but dangerous side effects, especially in people with weakened immune systems or particular skin conditions"", vacunación NY 1947 @nytimes. 
https://t.co/8tkeyXGS0Q"
1,37292E+18;0;I got my #shot #killcovid #vaccinated #vaccine https://t.co/1ZqJF6DcUi
1,39007E+18;0;Recently added myself to a few pharmacy #covid19sk vaccine waitlists in #yxe. Got a text/email from one ~30 mins ago, appt booked for 14th, and I'm technically not even eligible until 8am tomorrow. Impressed, relieved and grateful AF!
1,36051E+18;0;Well folks I can tell ya the vaccine definitely got in there I’ve had my first bout of side effects
1,38786E+18;0;"Vaccinated Shirt, Vaccine Shirt,Fully VAXXD https://t.co/xFJZ2yLXLz via @Etsy 
We donate $1 from every sale to the service industry impacted by Covid-19! Ready for summer...
#vaccinated #VaccinesWork #vaccine #vaccineselfie #summer https://t.co/vWUd8RfQsp"
1,37373E+18;0;got my first dose of the vaccine <U+0001F60E><U+0001F60E><U+0001F60E>
1,37288E+18;1;Experimental gene therapy.  https://t.co/RT1LrCW23H
1,34668E+18;0;If you’ve peed at a frat house you do not need to worry about what’s in the vaccine mama
1,3733E+18;0;Got my #Covid #vaccine shot. Day 1, not to bad, Day 2 a little arm soreness, Day 3 a little skin discoloration. Does it look too bad? https://t.co/EpNuS5HqyP
1,38745E+18;1;Principal Scientist, Gene Therapy Upstream Process Development, Pfizer, Morrisville, NC https://t.co/qoNWmVel0K
1,34689E+18;0;Getting my COVID vaccine soon <U+0001F918><U+0001F3FC>
1,37303E+18;1;"Hey folks, do a google ""gary null covid vaccine not a vaccine but gene therapy"" and clik on the January 5th link.  Read the page, as the audio is a bit lengthy and covers serval subjects.  Interesting."
1,34219E+18;0;“ok but real talk: if you have used the bathroom at Lonnie’s, you don’t need to worry about what’s in the vaccine”
1,3584E+18;1;It's Gene Therapy, Not a Vaccine https://t.co/ZhJZRaP9OJ
1,38668E+18;0;If you've listened to either of the Pillea singles, you don't have to worry about what's in the vaccine
1,37146E+18;1;"It's clear that there is literally nothing that will ever cast doubt on the safety of these rushed vaccines in the mainstream media.

Half the world have now banned the AstraZeneca vaccine, and yet STILL anyone who questions its safety is labelled an antivaxxer.

This is a cult."
1,34689E+18;1;"The ""vaccine"" is from the 80% depopulation &amp; ""purple revolution"" cabal. It'll decrease lifespan by causing cancer, other diseases, etc. &amp; cause sterility."
1,37305E+18;0;"While waiting 15 minutes after his vaccine, this young man challenged me to a pushup contest. He had no signs of discomfort whatsoever!
#GetVaccinated #COVID19Colorado 
#coleg @ArcArapDoug https://t.co/0NBxBQRMHt"
1,34322E+18;1;"Bureaucrats getting a ""vaccine"" injection in public view means nothing (could be just saline etc.). The ""vaccine"" is from the 80% depopulation &amp; ""purple revolution"" cabal. It'll decrease lifespan by causing cancer, ailments, etc. Ties to spygate. Thread https://t.co/0heTaDzoIu"
1,38754E+18;0;Got my 2nd Pfizer-BioNTech #COVIDVaccine dose in NC today. Got my 1st dose 3 weeks ago in GA. The Pfizer CEO said a 3rd dose is likely needed within 12 months. The BioNTech CMO said yearly shots are likely, similar to the flu shot. <U+0001F489>2<U+FE0F><U+20E3><U+2705> #COVID19 #Vaccinated #VaccinesWork https://t.co/jKW1tV2Yj0
1,35932E+18;0;So I can get the vaccine , but I ain’t really fw it.
1,37297E+18;0;Thankful for UCPS and Atrium Health for efficiently providing our 2nd dosage of Covid vaccine today @ParticipateLrng @EastES_NC https://t.co/LQ6jy0f13H
1,38812E+18;0;To fight against this deadly pandemic raging across do globe ,I took my 1st dose of vaccine(Covishield) 2day to boost the immune system. https://t.co/vY6kZtCPUd
1,38799E+18;0;Got my 1st dose of the covid vaccine scheduled for this Saturday and I cant wait!
1,37293E+18;1;The Death Cure, that's exactly what this mRNA GENE THERAPY really is! It is Not a Vaccine!
1,34671E+18;0;if you wear Vlone don’t worry about whats in the vaccine
1,34689E+18;0;Received my first round of the Moderna Covid-19 vaccine today.
1,38592E+18;1;This is not a vaccine it is gene therapy. Do not try and tell me that it does not affect my genes.
1,37152E+18;1;The COVID-19 vaccine really isn’t a vaccine in the medical definition of a vaccine. It’s more accurately an EXPERIMENTAL GENE THERAPY that could prematurely kill large amounts of the population and disable exponentially more.  https://t.co/Wty14C9kWQ
1,36041E+18;0;today is a good day. i got my first dose of the vaccine and celeste is here :) https://t.co/Riq7P2ET3a
1,36067E+18;1;The experimental injections being rolled out by Moderna and Pfizer are nothing similar to traditional vaccines. These mRNA platforms are an “operating system” designed to program human beings and turn their cells into efficient drug delivery systems... https://t.co/MiVfJKA5PA
1,37411E+18;1;"I really hate when people compare covid vaccine to birth control side effects. 

Birth control side effects don’t include death. <U+0001F974>

Stop comparing apples to oranges. Not to mention rushed vaccine to meds that have been around for ages."
1,36026E+18;0;"vaccine update:

zzzzzzzz"
1,35999E+18;1;"Bill Gates and Dr. Fauci talk regularly — here's what they're discussing now https://t.co/oO6CjZoTAD BILL GATES  killed THOUSANDS of innocent AFRICAN PEOPLE with his untested vaccine NOW WHAT is he &amp; fauci planning?? WHAT INNOCENT PEOPLE DO THEY PLAN TO ELIMINATE??"
1,34546E+18;1;COVID 19 has a 99% survival rate and you idiots are lining up to take a rushed, unproven, untested vaccine.
1,3733E+18;0;Salah after getting the vaccine: https://t.co/ogNV2XnJea
1,38765E+18;1;Now that there are reports of  fully vaccinated people transmitting to unvaccinated it makes me think... If the vaccine were a depopulation tool why would they kill the part of the population that is super compliant? Wouldn't you want to get rid of the rebels? https://t.co/qzVC5L8zuu
1,34434E+18;0;Great news about the Oxford-AstraZeneca vaccine just one word of caution the bloke telling us about it is the same guy who promised us the ‘world class track and trace’, we’re still waiting for #Covid19UK #DontGetTooExcited
1,37408E+18;0;TFW you get your girlfriend her #COVID vaccine appointments!! @Walgreens #VaccineSpotter https://t.co/kLMY8Z51ol
1,35919E+18;0;Just got the COVID vaccine <U+0001F489><U+0001F605>
1,34219E+18;0;if you like Love Live! or BanG_Dream! or Revue Starlight or FLOP4DJ do not worry about what’s in the vaccine
1,3469E+18;0;"This tweet is directed at only a very cool specific set of people:

Listen, if you drank the jungle juice or gin bucket at 40a Russell Street, Plymouth, NH circa 2015-16, you don't need to worry about what's in the vaccine."
1,3591E+18;1;Play “If you tolerate this, then your children will be next” by Manic street preachers. Because they are using an untested vaccine on “us” and @MattHancock is putting fluoride into the water without our consent! That’s what sheeple get for obedience! Don’t they care? Cowards!
1,34668E+18;0;if you skip replay by shinee don’t worry about what’s in the vaccine
1,37165E+18;1;"This is not a vaccine. This is gene therapy.

https://t.co/9JyVGK3Ch9"
1,35913E+18;0;Just got the 1 dose of the Moderna vaccine last night and just wanted to give y’all some observations thus far—I don’t feel any symptoms of anything. The only thing is, my arm is sore af. It feels heavy almost, but it is totally bearable.
1,34572E+18;1;Pfizer COVID jab warning: No breastfeeding, avoid pregnancy for 2 months, unknown fertility impacts | News | LifeSite https://t.co/zw3Yuq6h1z
1,38738E+18;0;Time for a New Vaccine Production Model? Spotlight on DYAI (NASDAQ: DYAI) https://t.co/1ZjZxFAdPi #VaccinesWork #vaccine #COVID19Vaccine #COVID19 #otcprwire #StocksToWatch #StockMarket #NASDAQ #EDMMedia #Healthcare
1,34689E+18;0;I just got my covid vaccine I’m so happy <U+0001F97A>
1,34469E+18;1;mRNA 'vaccines' can cause pathogenic priming, where serious adverse health effects become more likely on encountering a wild virus by triggering an autoimmune response or cytokine storm. I will not be taking an experimental mRNA Covid vaccine. https://t.co/Va7hISUUrf
1,34363E+18;0;Got my first dose of the COVID vaccine today! I am honored and blessed to be on the frontlines to help and fight against this pandemic and be able to get this vaccine to not only protect me but also my patients, family, friends, and the population. https://t.co/hHXYsbHvds
1,35885E+18;1;"https://t.co/mkqPKNzVFM
The covid vaccine is a bioweapon, it is designed to kill whoever receives it."
1,38712E+18;0;Today is a happy and proud day! I just received my first dose of the Covid vaccine! #GetVaccinated
1,39045E+18;0;My joints are all aching because of the vaccine but it’s better now than it was 4 hours ago
1,37185E+18;1;Bill and Melinda Gates Foundation scientist warns that 'The world is creating an “uncontrollable monster” and turning #vaccines into “a bioweapon of mass destruction”' https://t.co/WnZaLUYYqo #NoVaccine #coronavirus
1,35923E+18;0;My grandma, who is 85, just got the COVID-19 vaccine. It is a great day! https://t.co/dAgOX4tD1s
1,34479E+18;0;"People want answers, but they’re also just excited to get the vaccine as soon as they can.

https://t.co/l31kDxSbM3 via @ClevelandClaire"
1,34221E+18;0;If you date men do not worry about what’s in the vaccine
1,35984E+18;0;"Got vaccinated today and absolutely feeling well<U+0001F918>
Vaccines made in India are safe. 
Be responsible and pledge to protect yourself and your family by taking the vaccine when your turn arrives<U+270C><U+FE0F>

#LargestVaccineDrive #IndiaFightsCorona
#vaccinated https://t.co/KuoweW9wob"
1,35918E+18;0;Just got my first dose of the covid vaccine! So thankful for all the scientists and frontline workers who have made it possible!
1,37398E+18;0;Vaccine tomorrow <U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D> thank youuuuu
1,37405E+18;0;Jeeeeez so many vaccine experts out here! <U+0001F61C>
1,35924E+18;1;It's  weird how liberals were the main ones against vaccines such as the MMR, but now they love and push for this experimental vaccine that is killing people, or ar least seriously harming them.
1,37379E+18;0;Seeing all these people who’ve gotten their vaccine and I haven’t yet I’ve been working through the whole thing in person not at home. Has really started to make me a little bit bitter. #vaccinated #COVID19 #TexasSucks
1,36034E+18;0;I got my first dose of the Moderna vaccine. I can't wait to start breathing on people again. <U+0001F32C>
1,34523E+18;1;Former FEMA operative Celeste Solum on what she says is in the Gates vaccine – I say that the ‘bioweapon’ is not in fact the ‘virus’ which does not exist, but the vaccine justified by the ‘virus’ and people will have to decide what they they think https://t.co/Z4fAS4yB9p
1,37413E+18;0;I haven’t taken a sick day in an entire year… here I am freaking out that I might have to take tomorrow off due to side effects after my second Covid vaccine. This is supposed to feel good but they told us that we can’t help our students from home for really no good reason
1,38814E+18;0;"Vax update: got my 2nd Pfizer shot yesterday at 11:30am, felt fine until 10:30pm. Then I felt like a flu was coming on -- got some chills, wrapped up in an extra blanket &amp; went to bed. Woke up a little stiff, but after some coffee I feel normal again. No biggie."
1,34477E+18;0;Just found out my wife is getting the vaccine in about two weeks. I am both excited and jealous at the same time.
1,36017E+18;0;I'm off work again today because of ice (in Elizabethtown) but I can report I feel 100% better than yesterday post 2nd vaccine shot. Ready to work my arm.
1,38772E+18;1;It’s not a vaccine, it’s experimental gene therapy. https://t.co/lY8hHCbvDf
1,37219E+18;1;When is a Vaccine not a Vaccine? – Answer When it is an Experimental Gene Therapy – Unity News Network https://t.co/xMdjSx0B8i
1,35951E+18;0;"I got my COVID-19 vaccine today!

#vaccinatedagainstcovid19 https://t.co/biWyfnne8x"
1,38742E+18;0;"We are proud to be supporting #Malawi’s preparation and introduction of the #COVID19 vaccine.

Learn more about the exciting developments underway: https://t.co/szaln5twEu #VaccinesWork #WIW2021 #COVAX"
1,3596E+18;1;"87 THOUSAND DOCTORS &amp; NURSES COME OUT AGAINST COVID 19 &amp; FAKE VACCINE 'GENE THERAPY' https://t.co/XOYJPcumZf via @BitChute"
1,37292E+18;0;Team #pfizer out Pfuckers! #vaccinated @ New Orleans, Louisiana https://t.co/uIRyRqq4v1
1,36037E+18;0;How’s my Friday night going?Getting my first jab at @Walgreens. #vaccine #Moderna
1,39045E+18;0;Got my Pfizer 5G shot! Woooo! Get out and get that vaccine! Ready for the Oilers game now!
1,39006E+18;1;"Self replicating (self spreading ) COvid vaccine was developed in the 90’s under for causing infertility &amp; euthanizing  blacks. Research cont today in the United States among apartheid globalist 
bent  on killing off the human population funded by Bill Gates &amp; DARPA"
1,34373E+18;0;GOT MY FIRST DOSE OF THE VACCINE TODAY!!! I’m so fucking happy!! Is there a part of me that’s nervous about this vaccine? Of course! BUT I would do anything for music and festivals and crowds again so I proudly got that shot and am grateful to be one step closer to the end <U+0001F49C><U+0001F49A><U+0001F49C>
1,37297E+18;0;#DoYourPart and sign up for the vaccine. Lets get this show on the f**kin’ road. https://t.co/XAPLr3qtFl
1,37307E+18;0;I got my first dose of #Moderna on board <U+0001F44D><U+0001F44D><U+0001F44D><U+0001F44D> #GetVaccinated #COVID19 #CovidVaccine. Oh and follow me if you like scented candles. <U+0001F638>
1,35898E+18;1;"#Israel #COVID19 #CovidVaccine 

Israel has a lot of casualties from the ""vaccine"" , and now netanyahu want to impose a daily pcr tests to those who refuse the experimental ""substance"" that is HARMING people. (french video unfortunately)

https://t.co/22RJyUjH7M"
1,34224E+18;1;"Global reset means genocide(80% depopulation plan) and communism. China, Mexico &amp; “purple revolution” are overthrowing the U.S. The virus, lockdowns &amp; “vaccine” are pre-planned weapons of this war. Ties to spygate cover-up (AKA crossfire hurricane). Thread https://t.co/0heTaDzoIu"
1,39042E+18;1;REPEAT REPEAT (DONT TAKE THE BOT)VACCINE
1,38708E+18;0;"Get your 2nd covid vaccine for:
- your family <U+0001F46A>
- the friends you miss seeing <U+0001F942>
- to bring back brunching! <U+0001F95E>
- a concert you've been waiting for <U+0001F3B8><U+0001F918>
- live sports! <U+0001F3D2><U+0001F3C8><U+0001F3C0><U+26BE>
- international travel <U+2708><U+FE0F><U+0001F334>
- your community <U+0001F306>
- all of us <U+0001F30E>

#GetVaccinated"
1,39045E+18;1;"The whole vax program was a farce and was nothing other than a depopulation program designed to keep 500 million alive on the planet and the rest all be killed off as per Georgia Guidestones. U can still contract covid-19 even after getting the jab. <U+0001F923><U+0001F602>
https://t.co/nbrFJLJRiu"
1,39027E+18;0;Experts agree the COVID-19 vaccine is safe for people with diabetes and significantly reduces their risk of severe illness and death from the virus. https://t.co/kx8fxTEKBo
1,34682E+18;0;if you like maw more than 90’s love don’t worry about whats in the vaccine.
1,34413E+18;0;"A frontline nursing friend - a widow with a young child - is getting her first vaccine shot tomorrow. 

I'm so thrilled for her, and so grateful she's been prioritized, but it's going to be a really long eight months before it's our turn!"
1,38555E+18;1;'VACCINE' - Expert Confirms Fertility Issues, Speculates Depopulation, Brings Damning Evidence https://t.co/oC6I6j9Raj
1,36072E+18;1;https://health impact news .com/2021/cdc-over-500-deaths-now-following-mrna-experimental-injections-vaccine-hesitancy-increasing/
1,34663E+18;0;If you drank out them water fountains at school you shouldn’t worry about what’s in the vaccine
1,34297E+18;0;if you've ever liked or rted a tweet by a man talking about eating coochie dont worry about whats in the vaccine
1,34221E+18;0;If you have a Dream, George, Sapnap pfp you do NOT have to worry about whats in the COVID-19 Vaccine
1,34614E+18;1;Don't take any Coronavirus vaccine. It's poison and is bad for the body and soul. It will also cause infertility #youhavebeenwarned
1,34669E+18;0;If you used to participate in the 5 second food rule in elementary don’t worry about what’s in the vaccine <U+203C><U+FE0F>
1,38691E+18;1;now that I think about it, a guy like Bill Gates wouldn't have the stones to pull off an evil poison vaccine scheme
1,36096E+18;1;I notice all those that used to brand me a conspiracy theorist seem to have melted away. Wonder why? Have you also noticed Boris and other minister call this experimental gene therapy the ‘jab’ rather than a vaccine now?  Funny that! https://t.co/ANzd5v3Nel via @MailOnline
1,3441E+18;0;things suck but as we ring out 2020 i’m honestly just overwhelmingly grateful that the doctors in my family have been able to get the covid vaccine. it’s been a long and dark year worrying about the people i love and it finally feels like there’s some relief, i’m emo y’all
1,3879E+18;0;Miami school bars vaccinated teachers from seeing students - BBC News (I mean, it’s on the #bbc, so probably isn’t true... but, you know, yeah...) #covid #vaccine #school #vaccinated  https://t.co/w24JotmFaY
1,37415E+18;0;I did it, my first Moderna shot. https://t.co/cp5PLJlV7n
1,34434E+18;1;"#news #ukgov #UKlockdown 
These are the same idiots, that brought austerity ,poverty #foodbanks 
And now this fiasco? #lies #
I'm using my intuition and WILL NOT HAVE ANY rushed poison VACCINE .. ever!
 media are portraying our so called relief and joy?!"
1,34682E+18;1;What if the Oxford vaccine is just a tracking device to see who doesn’t clap for carers? <U+0001F602><U+0001F602><U+0001F602>
1,39008E+18;1;All major counties agreed to this.  Any politician or person in power that forces a VAX is criminally and civilly liable.  They are criminals.  Period.  And yes the vaccine is experimental.  You are the experiment. https://t.co/aMf6DfHuXs
1,39001E+18;0;"Had your second poke?
Think you're ""fully vaccinated now?
""....there will be an annual revaccination.""
Moderna plans to have third vaccine booster shot ready by fall https://t.co/O0eKQz2u81 via @cbsmoneywatch"
1,34627E+18;0;I was so worried about my fertility and if it the vaccine would affect it. Azza said no. Whoever asked that question, thank you <U+0001F64F><U+0001F3FD> that was one of my concerns
1,34334E+18;1;"IMO: DR. WAKEFIELD'S WARNING | NOT A VACCINE. IT'S GENETIC ENGINEERING
watch
https://t.co/N8a9MTVqZd
#Vaccines #Vaccination #Covid19Vaccines #Covid19Operation #PfizerVaccine #PfizerBioNTech #DNA #GeneticEngineering #DrWakefield #HydroxyChloroquine #CovidCure #Depopulation"
1,38813E+18;0;Finally! Got scheduled for my 1st Pfizer shot! Woooo! https://t.co/RasOqYaCRk
1,37377E+18;0;"Had my first vaccine this morning (yay!) but am now feeling like poop. Don’t get me wrong I’m grateful I could get it. But since having covid, even minor symptoms (like the small temperature I’ve got now) send me into a nasty panic spiral. 
Plz rec fic if you would be so kind <U+0001F970>."
1,38745E+18;0;For anyone wondering, I am #vaccinated Pfizer part 2, +48 hours, and I feel perfectly fine. Slight deltoid muscle soreness yesterday, no worse than a flu shot. #VaccinesWork
1,34427E+18;1;https://t.co/JWLVZ1bpiO SO YOUR SAYING ITS IN DEADLY VACCINE TO.
1,36032E+18;0;Got dressed up for my first jab #pfizer #covidvacccine #sparkles @ Ruislip, West London https://t.co/7amLJsTj3f
1,34616E+18;0;Our dental student son just got his first Covid-19 vaccine <U+0001F489>!  He’s already working on patients so this is awesome!!
